"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:33:43,FALSE,NA,"1223841907702300673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RalphieLopezJr1",10,TRUE,FALSE,NA,NA
"2","RT @UnivDataSol: Ford and EV start-up Rivian plan to produce an all-electric vehicle for Lincoln
#Ford #EV #Rivian #electricvehicle #Lincol…",FALSE,0,NA,2020-02-02 05:31:42,FALSE,NA,"1223841399923036161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jatinthakkar55",1,TRUE,FALSE,NA,NA
"3","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:20:28,FALSE,NA,"1223838575113965568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oPXbr7dPSXboGMG",10,TRUE,FALSE,NA,NA
"4","RT @costumes360: How's your sunday going? 

#costumes360 #thoughts #motivationalquotes #sundayvibes #success #ford #entrepreneur #leadershi…",FALSE,0,NA,2020-02-02 05:16:48,FALSE,NA,"1223837650223800324",NA,"<a href=""http://www.jainvarun.com"" rel=""nofollow"">Varun Jain</a>","codervj",3,TRUE,FALSE,NA,NA
"5","RT @costumes360: How's your sunday going? 

#costumes360 #thoughts #motivationalquotes #sundayvibes #success #ford #entrepreneur #leadershi…",FALSE,0,NA,2020-02-02 05:13:57,FALSE,NA,"1223836931966021632",NA,"<a href=""http://www.orbiter.in"" rel=""nofollow"">Orbiter Neeraj</a>","nneerajdj",3,TRUE,FALSE,NA,NA
"6","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 05:11:22,FALSE,NA,"1223836285166673920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ou47539284",11,TRUE,FALSE,NA,NA
"7","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:09:56,FALSE,NA,"1223835924233981952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AutosTrucksRods",10,TRUE,FALSE,NA,NA
"8","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:09:09,FALSE,NA,"1223835724946067457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","svt_Daniel04",10,TRUE,FALSE,NA,NA
"9","RT @costumes360: How's your sunday going? 

#costumes360 #thoughts #motivationalquotes #sundayvibes #success #ford #entrepreneur #leadershi…",FALSE,0,NA,2020-02-02 05:07:50,FALSE,NA,"1223835394866737152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aman_upadhyay_",3,TRUE,FALSE,NA,NA
"10","How's your sunday going? 

#costumes360 #thoughts #motivationalquotes #sundayvibes #success #ford #entrepreneur… https://t.co/E9Lgb0M0PA",FALSE,3,NA,2020-02-02 05:07:28,TRUE,NA,"1223835300587163648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","costumes360",3,FALSE,FALSE,NA,NA
"11","RT @The_JPEmerson: Who's got next?
#Ford #Mustang https://t.co/89F0nymVSH",FALSE,0,NA,2020-02-02 05:06:01,FALSE,NA,"1223834935380848641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbrilaGamez",35,TRUE,FALSE,NA,NA
"12","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:03:59,FALSE,NA,"1223834427425460224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","epistleof55",10,TRUE,FALSE,NA,NA
"13","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:03:50,FALSE,NA,"1223834386526887936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcosGNR87",10,TRUE,FALSE,NA,NA
"14","RT @SVT_Cobras: #ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,0,NA,2020-02-02 05:02:36,FALSE,NA,"1223834078912249856",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","teeagernet",10,TRUE,FALSE,NA,NA
"15","#ShelbySunday | The sexy 2007 Shelby GT500 Super Snake...🐍
#Ford | #Mustang | #SVT_Cobra https://t.co/ewx8lFzpm8",FALSE,51,NA,2020-02-02 05:00:40,FALSE,NA,"1223833592905850880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SVT_Cobras",10,FALSE,FALSE,NA,NA
"16","Ok ok ok but... my 3rd tweet regarding the #ford lol #B12hr @Bathurst12hour @radiolemans https://t.co/At9DQv6oEX",FALSE,0,NA,2020-02-02 04:57:27,FALSE,NA,"1223832781555322882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","motochefmike",0,FALSE,FALSE,NA,NA
"17","1964 Ford Galaxie 500 Convertible #1964FordGalaxie500 #FordGalaxie500 #Ford #FoMoCo #Americana #1960sAmericana… https://t.co/FbLDqfKqAe",FALSE,0,NA,2020-02-02 04:57:03,TRUE,NA,"1223832681240117248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SeanA806",0,FALSE,FALSE,NA,NA
"18","These things REALLY need mufflers

#ecoboost #ford #fordperformance #fordraptor #bajadesigns #6banger https://t.co/2PrfxTODxo",FALSE,0,NA,2020-02-02 04:22:50,FALSE,NA,"1223824071210696705",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","diangelo67",0,FALSE,FALSE,NA,NA
"19","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 04:22:23,FALSE,NA,"1223823958228832256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HughesEscape1",11,TRUE,FALSE,NA,NA
"20","My 2020 Ford Explorer ST lightning up the pavement #2020explorerst #2020fordexplorer #ford https://t.co/hhFMI7bFn6",FALSE,0,NA,2020-02-02 04:18:25,FALSE,NA,"1223822959053242368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HotRodHarrys",0,FALSE,FALSE,NA,NA
"21","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 04:04:34,FALSE,NA,"1223819473175576576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeccaChesshir",11,TRUE,FALSE,NA,NA
"22","RT @ModdedMustang: What is your favorite movie car? ❤ COMMENT 👇
.
Follow @ModdedMustang
.
#ford #fordperformance #fordmustang #mustang #mus…",FALSE,0,NA,2020-02-02 04:03:29,FALSE,NA,"1223819200461930496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexStark42",10,TRUE,FALSE,NA,NA
"23","Warming up!
-
-
#junp0wer #photography #photo #truck #trucks #fx4 #truck #trucks #Ford #f350 #dually #fordtrucks… https://t.co/EGLpgQEkZJ",FALSE,0,NA,2020-02-02 03:52:53,TRUE,NA,"1223816532372926465",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Junpower010",0,FALSE,FALSE,"-121.4927","38.5763"
"24","RT @Mercomatic: 1957 #Ford #Thunderbird; 312 cid, 4 bbl, 245 hp; 1957 saw the only restyle of the two-seater, including a longer deck for i…",FALSE,0,NA,2020-02-02 03:43:21,FALSE,NA,"1223814133671432192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mcgvonia76",33,TRUE,FALSE,NA,NA
"25","@Tesla are the real pioneers of electric vehicles! Brands like #audi #ford #jeep  and many other are joining the cl… https://t.co/iQG9Fafk0p",FALSE,0,"Tesla",2020-02-02 03:41:41,TRUE,NA,"1223813714383659014","13298072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThisisAlexx_",0,FALSE,FALSE,NA,NA
"26","Need a #Automotive service manual? Yes the ones the dealers use we have the manual for your #Ford you need! https://t.co/YmWK1UT0R9",FALSE,0,NA,2020-02-02 03:31:30,FALSE,NA,"1223811151571705857",NA,"<a href=""http://www.DynamicTweets.com"" rel=""nofollow"">Dynamic Tweets</a>","frugalmaniac",0,FALSE,FALSE,NA,NA
"27","Congratulations @sweepstakes1901, well-earned recognition - from all us diehard #Ford loyalists, thank you! https://t.co/t8Pxaupb9D",FALSE,0,NA,2020-02-02 03:30:51,FALSE,NA,"1223810989260529664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TrackGuys",0,FALSE,FALSE,NA,NA
"28","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 03:24:21,FALSE,NA,"1223809351640584193",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","taxijax",11,TRUE,FALSE,NA,NA
"29","RT @SVT_Cobras: #ShelbySunday | 🐍 The stunning 2014 Shelby GT500 Supersnake...
#Ford | #Mustang | #SVT_Cobra https://t.co/ZymRTt9xdX",FALSE,0,NA,2020-02-02 03:22:51,FALSE,NA,"1223808972819435520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rwindelange",121,TRUE,FALSE,NA,NA
"30","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 03:09:42,FALSE,NA,"1223805666122436609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mustang_matt007",11,TRUE,FALSE,NA,NA
"31","Henry Ford Museum https://t.co/gKU6hpPMbz via @HolidayRunaway #visitDetroit #Ford",FALSE,0,NA,2020-02-02 03:07:51,FALSE,NA,"1223805201464754177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HolidayRunaway",0,FALSE,FALSE,NA,NA
"32","A few of the old bangers on show at the #Longwarry truck show. #kenworth #internationalacco #austin #diamondt #ford https://t.co/NJ97rk5LWv",FALSE,0,NA,2020-02-02 03:07:16,FALSE,NA,"1223805051329597446",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BryceEishold",0,FALSE,FALSE,NA,NA
"33","RT @Mercomatic: 1957 #Ford #Thunderbird; 312 cid, 4 bbl, 245 hp; 1957 saw the only restyle of the two-seater, including a longer deck for i…",FALSE,0,NA,2020-02-02 03:00:04,FALSE,NA,"1223803239231037441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lastnametaco",33,TRUE,FALSE,NA,NA
"34","On your #roadtrip or while driving  tonight, let others hear your #SuperBowl predictions!

Enable Car Chat on Amazo… https://t.co/4NyFCUkCgN",FALSE,1,NA,2020-02-02 02:58:49,TRUE,NA,"1223802926814023680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarChatAlexa",1,FALSE,FALSE,NA,NA
"35","@PeterMacKay I trust the liberals before I’d ever trust the con party! #harper #ford #conjob #liars",FALSE,0,"PeterMacKay",2020-02-02 02:49:44,FALSE,"1223620925989388290","1223800641400791040","930386257","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamcoryyoung",0,FALSE,FALSE,NA,NA
"36","RT @The_JPEmerson: Weekend ride.
#Ford https://t.co/hiIHsMstdW",FALSE,0,NA,2020-02-02 02:44:20,FALSE,NA,"1223799282689564673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JJ2017PCM",6,TRUE,FALSE,NA,NA
"37","RT @The_JPEmerson: Weekend ride.
#Ford https://t.co/hiIHsMstdW",FALSE,0,NA,2020-02-02 02:41:35,FALSE,NA,"1223798589023051781",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mustang_matt007",6,TRUE,FALSE,NA,NA
"38","RT @agaramvision: #ford organised a mela with various NGOs at their Taramani campus, where many of their employees visited our stall and en…",FALSE,0,NA,2020-02-02 02:41:10,FALSE,NA,"1223798483141853184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Selvabh02143877",91,TRUE,FALSE,NA,NA
"39","RT @agaramvision: #ford organised a mela with various NGOs at their Taramani campus, where many of their employees visited our stall and en…",FALSE,0,NA,2020-02-02 02:40:46,FALSE,NA,"1223798382910570496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naren_avenger",91,TRUE,FALSE,NA,NA
"40","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 02:36:46,FALSE,NA,"1223797376009162752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","M_Ash_75",11,TRUE,FALSE,NA,NA
"41","RT @The_JPEmerson: Who's got next?
#Ford #Mustang https://t.co/89F0nymVSH",FALSE,0,NA,2020-02-02 02:36:41,FALSE,NA,"1223797355868278785",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The_JPEmerson",35,TRUE,FALSE,NA,NA
"42","RT @Mercomatic: 1957 #Ford #Thunderbird; 312 cid, 4 bbl, 245 hp; 1957 saw the only restyle of the two-seater, including a longer deck for i…",FALSE,0,NA,2020-02-02 02:36:18,FALSE,NA,"1223797259365748736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MichaelLeek1",33,TRUE,FALSE,NA,NA
"43","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 02:36:09,FALSE,NA,"1223797222048980992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wwwillstand",11,TRUE,FALSE,NA,NA
"44","RT @musclenspeed: This is a good looking 69 Mustang Sportroof. #ford #mustang #carsofinstagram #instacar https://t.co/msQo0cgjap",FALSE,0,NA,2020-02-02 02:35:36,FALSE,NA,"1223797082986708992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wildbillphoto",11,TRUE,FALSE,NA,NA
"45","RT @The_JPEmerson: Weekend ride.
#Ford https://t.co/hiIHsMstdW",FALSE,0,NA,2020-02-02 02:30:17,FALSE,NA,"1223795746262208512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeccaChesshir",6,TRUE,FALSE,NA,NA
"46","RT @NorthantsSCIU: #Witness #Appeal following a serious collision on St. Osyths Lane, #Oundle at approximately 09:47 hours on Friday 31st J…",FALSE,0,NA,2020-02-02 02:28:07,FALSE,NA,"1223795202516815872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Glapthorn_Celt",14,TRUE,FALSE,NA,NA
"47","RT @The_JPEmerson: Weekend ride.
#Ford https://t.co/hiIHsMstdW",FALSE,0,NA,2020-02-02 02:27:49,FALSE,NA,"1223795125664591877",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","43EnginesRoar",6,TRUE,FALSE,NA,NA
