"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:20:37,FALSE,NA,"1223838613256847361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pomchovis",2929,TRUE,FALSE,NA,NA
"2","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:15:57,FALSE,NA,"1223837435802505222",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ienagay",2929,TRUE,FALSE,NA,NA
"3","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:13:00,FALSE,NA,"1223836694845235200",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rosieparfum",2929,TRUE,FALSE,NA,NA
"4","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:09:48,FALSE,NA,"1223835888880439296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","G_barbatos",2929,TRUE,FALSE,NA,NA
"5","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:09:00,FALSE,NA,"1223835686991585280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shirokumani",2929,TRUE,FALSE,NA,NA
"6","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 05:02:30,FALSE,NA,"1223834051292758017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roszaire",2929,TRUE,FALSE,NA,NA
"7","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:49:04,FALSE,NA,"1223830671858290688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ikvros",2929,TRUE,FALSE,NA,NA
"8","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:47:15,FALSE,NA,"1223830216247861249",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Shugo_Ookami",2929,TRUE,FALSE,NA,NA
"9","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:45:25,FALSE,NA,"1223829751888039936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","scubagh0st",2929,TRUE,FALSE,NA,NA
"10","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:45:16,FALSE,NA,"1223829714399309825",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ghettosaurus1",2929,TRUE,FALSE,NA,NA
