"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ingliguori: This is what a #Tesla car sees while is #selfdriving mode. The amount of #data processed in an #autonomousvehicle is huge T…",FALSE,0,NA,2020-02-02 05:31:44,FALSE,NA,"1223841407812677633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SSXman2",16,TRUE,FALSE,NA,NA
"2","RT @SamTalksTesla: The perfect Model 3 ‘Production Hell’ analogy from @elonmusk talking $TSLA to @thirdrowtesla.

You either keep going, ru…",FALSE,0,NA,2020-02-02 05:29:28,FALSE,NA,"1223840839622955008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reenath",9,TRUE,FALSE,NA,NA
"3","RT @alvinfoo: Some of what goes on behind #tesla auto pilot mode

@tesla @DigitalColmer @Paula_Piccard @JeroenBartelse @fogle_shane @realCo…",FALSE,0,NA,2020-02-02 05:28:35,FALSE,NA,"1223840616200753154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SSXman2",37,TRUE,FALSE,NA,NA
"4","RT @JonathanApgar: dAviD EInhOrN iS a bRiLLiAnT iNVesTOr $TSLAQ $TSLA #Tesla #CYAZ #LFG

https://t.co/aX4OaB9850",FALSE,0,NA,2020-02-02 05:25:21,FALSE,NA,"1223839802300059650",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Everman",18,TRUE,FALSE,NA,NA
"5","RT @teslaudio: Tesla is beating their competitors in every market. They are years ahead of any competition out there. Model S VS Taycan, Mo…",FALSE,0,NA,2020-02-02 05:22:38,FALSE,NA,"1223839119085838338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anonymous_Stv",48,TRUE,FALSE,NA,NA
"6","$TSLA video from 29 Jan explaining why we believe #Tesla is ready to rally higher https://t.co/IL5qNtnDjS #elliottwave #trading",FALSE,0,NA,2020-02-02 05:20:55,FALSE,NA,"1223838688083353600",NA,"<a href=""https://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","ElliottForecast",0,FALSE,FALSE,NA,NA
"7","$TSLA Chart of The Day from 29 Jan: #Tesla ended short term correction https://t.co/exU1RtesAQ #trading #elliottwave https://t.co/Ovtcrc67Cn",FALSE,0,NA,2020-02-02 05:20:52,FALSE,NA,"1223838672799379457",NA,"<a href=""https://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","ElliottForecast",0,FALSE,FALSE,NA,NA
"8","RT @PureTesla: Model X now comes with a wireless phone charger in the center console standard! #tesla https://t.co/xyNt9kzTA3",FALSE,0,NA,2020-02-02 05:19:23,FALSE,NA,"1223838302178070528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimulationWiz",2,TRUE,FALSE,NA,NA
"9","RT @teslaudio: Tesla is beating their competitors in every market. They are years ahead of any competition out there. Model S VS Taycan, Mo…",FALSE,0,NA,2020-02-02 05:18:03,FALSE,NA,"1223837966214164480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vcdxnz001",48,TRUE,FALSE,NA,NA
"10","Want to do something positive for the environment without compromising on speed and efficiency? No need to buy a… https://t.co/PCfORnWOx3",FALSE,0,NA,2020-02-02 05:17:26,TRUE,NA,"1223837812413411328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","APatinki",0,FALSE,FALSE,NA,NA
"11","RT @V2Trucks: Better view of the Roasters out here.  7 of them!  
#Tesla #Roaster @FullyChargedShw #EV https://t.co/thiN2281eN",FALSE,0,NA,2020-02-02 05:15:27,FALSE,NA,"1223837311659663360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ab_6077",6,TRUE,FALSE,NA,NA
"12","RT @Genyosai: I frequent so many hotels, this 1 especially, that I know the staff very well. They know me very well, too. So much so that w…",FALSE,0,NA,2020-02-02 05:13:32,FALSE,NA,"1223836829272694784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TeslaForThe_Win",6,TRUE,FALSE,NA,NA
"13","RT @tesla_addicted: People often Ask me they don’t like white seats because they can be easily stained so next time I’ll show them this vid…",FALSE,0,NA,2020-02-02 05:13:25,FALSE,NA,"1223836797836439553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reenath",17,TRUE,FALSE,NA,NA
"14","Are there plans to offer the Model 3 with a chrome delete option similar to the Model Y as shown here? @elonmusk… https://t.co/YCSeDIWlNY",FALSE,0,NA,2020-02-02 05:13:02,TRUE,NA,"1223836703036559360",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ijoe13",0,FALSE,FALSE,NA,NA
"15","RT @BrianGilbert_: So.. instead of getting work done this arvo I made an Australianised version of Tesla Theater, enjoy!
Just open this URL…",FALSE,0,NA,2020-02-02 05:12:59,FALSE,NA,"1223836689342201857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CamdenDavis11",15,TRUE,FALSE,NA,NA
"16","RT @tesla_addicted: People often Ask me they don’t like white seats because they can be easily stained so next time I’ll show them this vid…",FALSE,0,NA,2020-02-02 05:12:40,FALSE,NA,"1223836611722522624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blitzfire911",17,TRUE,FALSE,NA,NA
"17","RT @CathieDWood: #Tesla’s Flywheel is just getting started!  Thank you @TashaARK and @skorusARK for pulling together your best-in-class res…",FALSE,0,NA,2020-02-02 05:10:19,FALSE,NA,"1223836020996825090",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","grant8381",71,TRUE,FALSE,NA,NA
"18","RT @tesla_addicted: People often Ask me they don’t like white seats because they can be easily stained so next time I’ll show them this vid…",FALSE,0,NA,2020-02-02 05:10:18,FALSE,NA,"1223836016919711745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZTeslaFan",17,TRUE,FALSE,NA,NA
"19","In our latest thrill-seeking video we drive an EV in the rain while exploring Darwin's 4 best public chargers 😱
Wat… https://t.co/AhvkBD3Sno",FALSE,2,NA,2020-02-02 05:08:49,TRUE,NA,"1223835640992690177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","outbacktesla",0,FALSE,FALSE,NA,NA
"20","RT @Supermantibody: Life is too short to wear boring sneakers..
#Cybertruck #Tesla https://t.co/LHGNQWxfGo",FALSE,0,NA,2020-02-02 05:08:49,FALSE,NA,"1223835640061550594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im_aaravagarwal",15,TRUE,FALSE,NA,NA
"21","RT @BrianGilbert_: So.. instead of getting work done this arvo I made an Australianised version of Tesla Theater, enjoy!
Just open this URL…",FALSE,0,NA,2020-02-02 05:08:27,FALSE,NA,"1223835551683379200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JennyStars7",15,TRUE,FALSE,NA,NA
"22","One summer, after many reports of parents or care takers forgetting and leaving kids in their cars, @tesla upgraded… https://t.co/ljgn6oipX6",FALSE,0,NA,2020-02-02 05:07:47,TRUE,NA,"1223835383923740672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gift_4000",0,FALSE,FALSE,NA,NA
"23","RT @tesla_addicted: People often Ask me they don’t like white seats because they can be easily stained so next time I’ll show them this vid…",FALSE,0,NA,2020-02-02 05:07:25,FALSE,NA,"1223835288000028673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xiang_aw",17,TRUE,FALSE,NA,NA
"24","RT @tesla_addicted: People often Ask me they don’t like white seats because they can be easily stained so next time I’ll show them this vid…",FALSE,0,NA,2020-02-02 05:05:57,FALSE,NA,"1223834920625115136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matthew_kerle",17,TRUE,FALSE,NA,NA
